datetime,wind_direction,wind_speed,weather_description,pressure,temperature,humidity
10/1/2012 13:00,0,0,sky is clear,1018,293.41,22
10/1/2012 14:00,8,0,sky is clear,1018,293.4031413,21
10/1/2012 15:00,23,0,sky is clear,1018,293.3921771,21
10/1/2012 16:00,37,0,sky is clear,1018,293.3812128,21
10/1/2012 17:00,51,0,sky is clear,1018,293.3702486,21
10/1/2012 18:00,65,0,sky is clear,1018,293.3592844,21
10/1/2012 19:00,79,0,sky is clear,1018,293.3483202,21
10/1/2012 20:00,94,0,sky is clear,1018,293.337356,20
10/1/2012 21:00,108,0,sky is clear,1018,293.3263917,20
10/1/2012 22:00,122,0,sky is clear,1018,293.3154275,20
10/1/2012 23:00,136,0,sky is clear,1018,293.3044633,20
10/2/2012 0:00,151,0,sky is clear,1018,293.2934991,20
10/2/2012 1:00,165,0,sky is clear,1018,293.2825349,20
10/2/2012 2:00,179,1,sky is clear,1018,293.2715706,19
10/2/2012 3:00,193,1,sky is clear,1018,293.2606064,19
10/2/2012 4:00,207,1,sky is clear,1018,293.2496422,19
10/2/2012 5:00,222,1,sky is clear,1018,293.238678,19
10/2/2012 6:00,236,1,sky is clear,1018,293.2277138,19
10/2/2012 7:00,250,1,sky is clear,1018,293.2167495,19
10/2/2012 8:00,264,1,sky is clear,1018,293.2057853,18
10/2/2012 9:00,278,1,sky is clear,1018,293.1948211,18
10/2/2012 10:00,293,1,sky is clear,1018,293.1838569,18
10/2/2012 11:00,307,1,sky is clear,1018,293.1728927,18
10/2/2012 12:00,321,1,sky is clear,1018,293.1619284,18
10/2/2012 13:00,335,2,sky is clear,1018,293.1509642,18
10/2/2012 14:00,350,2,sky is clear,1019,293.14,18
10/2/2012 15:00,0,0,sky is clear,1019,296.38,16
10/2/2012 16:00,0,0,sky is clear,1019,297.02,23
10/2/2012 17:00,0,0,sky is clear,1020,300.24,18
10/2/2012 18:00,0,0,sky is clear,1019,305.1,9
10/2/2012 19:00,50,4,sky is clear,1019,305.47,9
10/2/2012 20:00,40,5,sky is clear,1018,306.7,9
10/2/2012 21:00,40,5,sky is clear,1017,307.22,8
10/2/2012 22:00,20,1,sky is clear,1016,308.79,8
10/2/2012 23:00,140,3,sky is clear,1015,308.79,8
10/3/2012 0:00,120,3,sky is clear,1014,308.29,8
10/3/2012 1:00,0,1,sky is clear,1014,306.22,8
10/3/2012 2:00,0,0,sky is clear,1014,303.27,9
10/3/2012 3:00,290,2,sky is clear,1014,301.1,
10/3/2012 4:00,290,2,sky is clear,1014,300.45,18
10/3/2012 5:00,330,2,sky is clear,1015,298.96,19
10/3/2012 6:00,330,4,sky is clear,1014,298.14,15
10/3/2012 7:00,300,2,sky is clear,1014,296.17,19
10/3/2012 8:00,0,0,sky is clear,1014,297.14,24
10/3/2012 9:00,0,0,sky is clear,1014,296.43,19
10/3/2012 10:00,280,1,sky is clear,1014,296.44,17
10/3/2012 11:00,0,0,sky is clear,1014,295.56,30
10/3/2012 12:00,290,2,sky is clear,1014,293.68,
10/3/2012 13:00,320,3,sky is clear,1014,293.38,21
10/3/2012 14:00,330,2,sky is clear,1015,292.26,
10/3/2012 15:00,220,1,sky is clear,1015,295.3466667,
